name,weight/volume,calories,proteins,fats,carbohydrates,type,brand,manufacturer,article,composition,description,image_url,rating_score,price,category
Тесто Моя цена слоеное дрожжевое,500г,350,6.0,18.0,40.0,Тесто,Моя цена,,1129710001,"Мука пшеничная хлебопекарная высшего сорта, вода питьевая очищенная, маргарин (масла растительные рафинированные дезодорированные, в том числе модифицированные, вода, эмульгатор Е471, соль, регулятор кислотности – лимонная кислота, консервант – сорбат калия, ароматизатор, красители (Е100, Е160b)), сахар, дрожжи хлебопекарные прессованные, соль, улучшитель хлебопекарный (пшеничная мука, сухая пшеничная клейковина, агент антислеживающий Е170, вещество для обработки муки Е920, антиокислитель – аскорбиновая кислота)",,https://images-foodtech.magnit.ru/X-SBOvixKo6O7z502cfb4Zm70Ddyo_dMVvE1JaDCsik/rs:fit:1600:1600/plain/s3://img-dostavka/uf/e94/e94133a1cc3e9c3376403582fcb327b1/5d24177901489274f1486e40088fc031.jpeg@webp,4.7,109.99,zamorozhennye_produkty
Мороженое Чебоксарский Пломбир вафельный стаканчик,70г,210,3.5,12.0,23.2,Мороженое,Чебоксарский,Волга Айс,1000110057,"Вода, сливочное масло, сахар-песок, вафельный стаканчик (мука пшеничная, масло растительное, яичный порошок, эмульгатор лецитин соевый, сода пищевая, соль), сухое обезжиренное молоко, сухая молочная сыворотка, мальтодекстрин, стабилизатор-эмульгатор (моно-диглицериды жирных кислот, карбоксиметилцеллюлозы натриевая соль, гуаровая камедь, каррагинан), ароматизатор идентичный натуральному ""ванилин""","Мороженое Чебоксарский Пломбир вафельный стаканчик 70г — это вкусное лакомство, которое помогает охладиться в жару и подарит позитивные ощущения. Угощение имеет яркий, насыщенный вкус и тающую текстуру. Не содержит заменителей молочного жира. В состав входят только натуральные компоненты. Не требует добавления сиропов. Продукт можно подать в креманке с кусочками фруктов, ягод, вафельной трубочкой или орехами. Его можно включать в состав молочных коктейлей, различных десертов. Лакомство добавляют в горячие кофейные напитки, такие как глясе. Выпускается в небольшой упаковке с интересным дизайном.",https://images-foodtech.magnit.ru/VgpW6kRowTjxXcSphNqOXx2tHv6aWdakNevrs4Qs_Lc/rs:fit:1600:1600/plain/s3://img-dostavka/uf/c15/c152aff1675fae6e430787c107739b73/6c20f7a712734fa21219190e721db5b9.jpeg@webp,4.8,50.39,zamorozhennye_produkty
Брокколи Green Ribbon соцветиями быстрозамороженная,700г,40,3.0,0.4,5.2,Капуста брокколи,Green Ribbon,Тандер,1000546409,Капуста брокколи,"Быстрозамороженная брокколи сохранила природный вкус и текстуру свежей капусты. Вкус брокколи свежий и насыщенный, с нотками зелени, а аромат нежный и ненавязчивый. Подходит для приготовления супов, гарниров, запеканок.",https://images-foodtech.magnit.ru/77_z-YpsmWHWGRoXvXml1TQriJyEc1W0v1owyFP988M/rs:fit:1600:1600/plain/s3://img-dostavka/uf/397/3971d2dd433319fc62d5e5a4b7bb2dd6/faf133c81d343b8a2005aaa063b7c730.jpeg@webp,4.7,209.99,zamorozhennye_produkty
Мороженое Коровка из Кореновки Пломбир Шоколадный в вафельном стаканчике,100г,222,2.0,14.0,21.0,Мороженое,Коровка из Кореновки,Кореновский МКК,1000045560,"Сливки, сахар, вафельный стакан (мука пшеничная хлебопекарная, масло растительное, сахар-песок, соль поваренная пищевая, сода пищевая), молоко цельное сгущенное с сахаром, какао-порошок, стабилизатор – «Кремодан» (стабилизаторы: моно- и диглицериды жирных кислот, камедь рожкового дерева, гуаровая камедь, каррагинан)",Шоколадный пломбир в хрустящем вафельном стаканчике из сливок и сгущённого молока. Мягкая плотная текстура обладает насыщенным шоколадным вкусом благодаря какао высокого качества.,https://images-foodtech.magnit.ru/BWzPOtAqrEkZUX_KIF7otSA3rNAdu4OSHatPiJXJsco/rs:fit:1600:1600/plain/s3://img-dostavka/uf/c86/c865b7e22504e7f792672c0a7536d57d/a219cb7896416b7370a0af25e6ffce3e.jpeg@webp,4.8,79.99,zamorozhennye_produkty
Рыбное филе Vici Приорити Дальневосточное,300г,171,12.7,6.9,14.4,Филе минтая,Vici,Вичюнай-Русь,1000174186,"Филе минтая, панировка (сухари панировочные (мука пшеничная, соль, дрожжи, специи и экстракт специй (содержит пищевые добавки: эмульгатор Е472е, антиокислитель Е307)), вода, масло рапсовое, мука пшеничная, крахмал пшеничный, белок яичный, петрушка, соль)). Может содержать следы молока, горчицы и продуктов из них. Произведено из мороженой рыбной продукции","Рыбное филе Vici Приорити Дальневосточное 300г — это панированная рыбная продукция, которая быстро готовится на разогретой с маслом сковороде. Она имеет приятный вкус и аромат и способна быстро утолить чувство голода. Филе очень хорошо сочетается с различными соусами и кетчупами, а также подходит к таким гарнирам, как гречка, картофель, макароны, рис и овощи. Для его приготовления используется отборное филе минтая, в котором содержится большое количество витаминов и микроэлементов. Рыба обязательно должна присутствовать в рационе благодаря содержанию витаминов, минералов, омега-3 жирных кислот, а также фолиевой кислоты, которые благотворно воздействую на кровеносную систему, нормализуют обмен веществ. Срок годности такого продукта составляет 12 месяцев от даты производства.",https://images-foodtech.magnit.ru/8Tzsgl_q3LpxpNbeGEIBW8LPDh_NnjhdKE4oxXYfDPY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/350/350a8a296e6f7386eca807020487b602/d0dbf7c593f8d0c71f711f8d972b8ba5.jpeg@webp,4.7,269.99,ryba_moreprodukty
Рыбное филе Vici Приорити Дальневосточное,300г,171,12.7,6.9,14.4,Филе минтая,Vici,Вичюнай-Русь,1000174186,"Филе минтая, панировка (сухари панировочные (мука пшеничная, соль, дрожжи, специи и экстракт специй (содержит пищевые добавки: эмульгатор Е472е, антиокислитель Е307)), вода, масло рапсовое, мука пшеничная, крахмал пшеничный, белок яичный, петрушка, соль)). Может содержать следы молока, горчицы и продуктов из них. Произведено из мороженой рыбной продукции","Рыбное филе Vici Приорити Дальневосточное 300г — это панированная рыбная продукция, которая быстро готовится на разогретой с маслом сковороде. Она имеет приятный вкус и аромат и способна быстро утолить чувство голода. Филе очень хорошо сочетается с различными соусами и кетчупами, а также подходит к таким гарнирам, как гречка, картофель, макароны, рис и овощи. Для его приготовления используется отборное филе минтая, в котором содержится большое количество витаминов и микроэлементов. Рыба обязательно должна присутствовать в рационе благодаря содержанию витаминов, минералов, омега-3 жирных кислот, а также фолиевой кислоты, которые благотворно воздействую на кровеносную систему, нормализуют обмен веществ. Срок годности такого продукта составляет 12 месяцев от даты производства.",https://images-foodtech.magnit.ru/8Tzsgl_q3LpxpNbeGEIBW8LPDh_NnjhdKE4oxXYfDPY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/350/350a8a296e6f7386eca807020487b602/d0dbf7c593f8d0c71f711f8d972b8ba5.jpeg@webp,4.7,269.99,zamorozhennye_produkty
Гавайская смесь Agama быстрозамороженная,400г,100,4.0,1.0,18.0,Смесь овощная,Agama,Hortex,1000180808,"Овощи 60% в изменяемых соотношениях: зеленый горошек, кукуруза (зерно), сладкий перец, рис 40%","Смесь овощная Hortex Гавайская быстрозамороженная 400г может стать отличным вариантом гарнира или полноценного блюда. Она включает в себя свежий зеленый горошек, сладкий перец, кукурузу и рис. Благодаря такому сочетанию ингредиентов она богата витаминами и минералами, которые положительно влияют на состояние всего организма. В ней содержится большое количество «медленных» углеводов и клетчатки. Благодаря этому смесь надолго дарит чувство насыщения, легко усваивается и оказывает благоприятное воздействие на желудочно-кишечный тракт. За счет современной высокотехнологичной заморозки удается сохранить полезные свойства овощей. Продукт можно пропаривать, варить, обжаривать или запекать, дополняя его любимыми специями и свежей зеленью.",https://images-foodtech.magnit.ru/G84vmGTETOyc4LoChXekzjcCnyiSiXI16jpmQc8gUXc/rs:fit:1600:1600/plain/s3://img-dostavka/uf/e68/e68dcc5e6bac5698da5be9fdffe8f429/b004813d275bfab9563ee47547d9a4d2.jpeg@webp,4.8,149.99,zamorozhennye_produkty
Филе минтая без кожи,400г,,,,,Филе минтая,Различные бренды,,1000200904,"Минтай богат белком, минеральными веществами, йодом, но, чтобы сохранить все полезные микроэлементы, размораживать рыбу рекомендуется непосредственно перед приготовлением.","Минтай богат белком, минеральными веществами, йодом, но, чтобы сохранить все полезные микроэлементы, размораживать рыбу рекомендуется непосредственно перед приготовлением.",https://images-foodtech.magnit.ru/cnGHngLjSGEJvoKdYhd1Ho2PNFHGlXzWoZsY7SvJz8c/rs:fit:1600:1600/plain/s3://img-dostavka/uf/da1/da1a57f77ff79c81266675a712d62264/dadc58e0d97211816d7b72d806eb7638.jpeg@webp,4.7,299.99,ryba_moreprodukty
Филе минтая без кожи,400г,,,,,Филе минтая,Различные бренды,,1000200904,"Минтай богат белком, минеральными веществами, йодом, но, чтобы сохранить все полезные микроэлементы, размораживать рыбу рекомендуется непосредственно перед приготовлением.","Минтай богат белком, минеральными веществами, йодом, но, чтобы сохранить все полезные микроэлементы, размораживать рыбу рекомендуется непосредственно перед приготовлением.",https://images-foodtech.magnit.ru/cnGHngLjSGEJvoKdYhd1Ho2PNFHGlXzWoZsY7SvJz8c/rs:fit:1600:1600/plain/s3://img-dostavka/uf/da1/da1a57f77ff79c81266675a712d62264/dadc58e0d97211816d7b72d806eb7638.jpeg@webp,4.7,299.99,zamorozhennye_produkty
Мороженое Челны-Холод брикет пломбир на сливках ваниль и шоколадное печенье,100г,375,6.2,16.0,47.1,Мороженое,Пломбир на Сливках,Набережночелнинский ХК Челны Холод,1000318822,"Печенье (мука пшеничная высшего сорта, сахар, маргарин (рафинированные дезодорированные растительные масла в натуральном и модифицированном виде (пальмовое и его фракции, подсолнечное), вода, эмульгаторы (Е471, лецитин соевый Е322), соль, ароматизатор, краситель (Е160а), регулятор кислотности лимонная кислота), какао-порошок, молоко сухое обезжиренное, сухой яичный меланж, соль, ароматизатор «Шоколад»), молоко цельное, сахар, масло сливочное, сливки, молоко сухое обезжиренное, какао-порошок, комплексная пищевая добавка (эмульгатор моно- и диглицериды жирных кислот, стабилизаторы: гуаровая камедь, камедь рожкового дерева, каррагинан), ароматизатор «Ванилин»","Мороженое Челны-Холод брикет пломбир на сливках ваниль и шоколадное печенье 100г — классический десерт, который поднимет настроение взрослым и детям. В нем сочетается нежная текстура, приятный сливочный вкус, тонкий ванильный аромат и рассыпчатое печенье. Он готовится по традиционному рецепту на современном оборудовании из натуральных продуктов. В его состав входят отборное молоко, сливки, масло, какао. Эти ингредиенты богаты полезными для организма веществами: витаминами, минералами, необходимыми жирами.Лакомство хорошо освежает в летний зной, а в прохладную погоду прекрасно дополняет горячие напитки. Его удобно есть прямо из упаковки, откусывая небольшие кусочки, или при помощи ложки.",https://images-foodtech.magnit.ru/t4s06_k5R3-s2hkl9d7hTv5DGlEYA37DwH4ukzFXaH0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/8c7/8c7b5b24fef251c8dfe585d81c2ab20e/a5701501def1dbe737a8c214e2807568.jpeg@webp,4.7,93.99,zamorozhennye_produkty
Фасоль зеленая 4 Сезона быстрозамороженная,400г,28,4.0,,4.0,Фасоль,4 Сезона,Западный ХК,9009072909,Стручковая зеленая фасоль,"Зелёная замороженная фасоль готова к употреблению. Стручки очищены и нарезаны ровными полосками, что делает фасоль универсальным ингредиентом. Можно употреблять как самостоятельно, так и добавлять в салаты, рагу, пиццы и омлеты, чтобы придать им яркий и насыщенный вкус.",https://images-foodtech.magnit.ru/ba8R0512-icScBYvoRMLXDkozmQkf0gnMg_3FiQijT8/rs:fit:1600:1600/plain/s3://img-dostavka/uf/33f/33f564cba21c646fa54292af568a6486/1838de5b28e1e87232fecba0c92a68a3.jpeg@webp,4.7,139.99,zamorozhennye_produkty
Наггетсы куриные Мираторг с сыром,300г,194,11.0,9.5,16.0,Наггетсы куриные,Мираторг,Мираторг,5555551118,"Филе грудки куриное, филе окорочка куриного с кожей, мука (пшеничная, кукурузная), вода питьевая, крахмал (картофельный, кукурузный, тапиоковый), волокна пищевые (клетчатка пшеничная, соевая), масло подсолнечное, продукт плавленный с сыром (растительный жир, сухое обезжиренное молоко, стабилизаторы (Е452i, Е331iii), казеинат натрия (содержит молоко), эмульгатор Е1414, мягкий сливочный сыр (содержит лактозу)), белок соевый, глютен пшеничный, соль, дрожжи, регуляторы кислотности (карбонат натрия, глюконат натрия), антиокислитель аскорбиновая кислота, загустители (метилцеллюлоза, гуаровая камедь), экстракт дрожжевой (содержит ячмень), куркума, паприка, красители (аннато, экстракт паприки), ароматизатор натуральный. На предприятии используются продукты переработки: молока, яиц, горчицы, сои, сельдерея, злаков и сульфитов","Наггетсы из куриного филе «нашпигованы» сырными кусочками, которые плавятся во время жарки и придают фаршу сочность и аромат. Плотная панировка из сухарей превращается в золотистую корочку, сохраняющую соки внутри.",https://images-foodtech.magnit.ru/9mvOHyZTofwSKc6ITIDv2grXTYQp0jl6R9FHKKCxO5A/rs:fit:1600:1600/plain/s3://img-dostavka/uf/8ed/8ed66c732de0c69caa4a81dc005135f8/43e21b7afda28210461422d0641c4c6a.jpeg@webp,4.7,259.99,zamorozhennye_produkty
Тесто Моя цена слоеное бездрожжевое,500г,340,5.5,18.0,38.0,Тесто,Моя цена,Тандер,1129710002,"Мука пшеничная хлебопекарная высшего сорта, маргарин для слоеного теста (дезодорированные растительные масла, вода, эмульгаторы E471 и E475, лецитин, соль поваренная пищевая, консервант – сорбат калия, антиокислитель – кислота лимонная, ароматизатор идентичный натуральному «Сливочное масло», красители пищевые (куркумин и аннато)), вода питьевая, соль поваренная",,https://images-foodtech.magnit.ru/8a8yNKobYn_auEPWcFHcLCAAZrPBlBDQClqdrKeUhlA/rs:fit:1600:1600/plain/s3://img-dostavka/uf/0e6/0e60e816559f875376defa5d492bbd2f/6049704aa05dc20046c2cd9321ed699d.jpeg@webp,4.6,103.99,zamorozhennye_produkty
Мороженное Челны холод 100% настоящий пломбир ваниль,900г,200,3.7,12.0,19.4,Мороженое,100% Настоящий Пломбир,Набережночелнинский ХК Челны Холод,1000493598,"Молоко цельное, масло сливочное, сахар, молоко сухое обезжиренное, сыворотка молочная сухая, комплексная пищевая добавка (эмульгатор моно- и диглицериды жирных кислот, стабилизаторы: камедь рожкового дерева, гуаровая камедь, каррагинан), ароматизатор ""ванилин""","Первое мороженое, приготовленное в Венеции почти 400 лет назад, было именно ванильным. С тех пор рецептура практически не поменялась: молоко, сливочное масло, сахар, ароматизатор. Добавили лишь эмульгаторы для хранения, но тоже натуральные.",https://images-foodtech.magnit.ru/kkRiQYVoz5jO2l3GR9lAwY4qAU8uUZnd_PUnOx4vyxo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/ad3/ad3d2250a95d64f05bf76bb4497989ab/c85c6447f100c869d11555b74b8482f3.jpeg@webp,4.7,629.99,zamorozhennye_produkty
Креветки Vici королевские в панцире варено-мороженные 40/50,500г,80,18.7,0.6,3.5,Креветки,Vici,Вичюнай-Русь,1000457348,"Креветки белоногие неразделанные (Litopenaeus vannamei), вода (защитная глазурь), соль, пряности, антиокислитель: Е223","Крупные белоногие креветки, они же королевские, отварены в панцире с солью и пряностями. Это добавляет их от природы сладковатому вкусу дополнительную пикантность. Креветки уже не надо варить и приправлять. Разморозил — и вкуснейшая закуска готова.",https://images-foodtech.magnit.ru/H0phZm5awRcX0bhEs5A282_25KV6aiW4KNnirK2vfOo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/020/020e0cf065fc511c757f03739eb5c718/823633de0c0a78bb27d836e722fa9303.jpeg@webp,4.6,529.99,ryba_moreprodukty
Креветки Vici королевские в панцире варено-мороженные 40/50,500г,80,18.7,0.6,3.5,Креветки,Vici,Вичюнай-Русь,1000457348,"Креветки белоногие неразделанные (Litopenaeus vannamei), вода (защитная глазурь), соль, пряности, антиокислитель: Е223","Крупные белоногие креветки, они же королевские, отварены в панцире с солью и пряностями. Это добавляет их от природы сладковатому вкусу дополнительную пикантность. Креветки уже не надо варить и приправлять. Разморозил — и вкуснейшая закуска готова.",https://images-foodtech.magnit.ru/H0phZm5awRcX0bhEs5A282_25KV6aiW4KNnirK2vfOo/rs:fit:1600:1600/plain/s3://img-dostavka/uf/020/020e0cf065fc511c757f03739eb5c718/823633de0c0a78bb27d836e722fa9303.jpeg@webp,4.6,529.99,zamorozhennye_produkty
Карибская смесь Мираторг быстрозамороженная,400г,46,3.0,,7.9,Смесь овощная,Vитамин,Трио-Инвест,1000187641,"Фасоль стручковая, перец сладкий, морковь, кукуруза початки, горошек зеленый, фасоль красная, горошек стручковый","Карибская смесь состоит из миниатюрной моркови, сладкого перчика, кукурузы, красной фасоли и горошка.",https://images-foodtech.magnit.ru/kERsRWw4BtAZcuEl1Hr1VYYEctEtC3GR4rsyY6IiPZ0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/d04/d040966b1b80742b85fed3a62f923c6a/c118ba4624e75e2a2ab38423afd59333.jpeg@webp,4.6,199.99,zamorozhennye_produkty
Клюква Premiere of taste садовая быстрозамороженная,300г,19,0.5,0.2,3.7,Клюква,Premiere of taste,Тандер,1000517887,Клюква садовая,"Замороженная садовая клюква с характерной кислинкой сохраняет свои полезные свойства благодаря шоковой заморозке. Освежающий аромат и яркий кисловатый вкус придаёт пикантный оттенок любым блюдам, соусам и напиткам.",https://images-foodtech.magnit.ru/Dr0x9MYOO24TctK7laHeRZEvMHQdB1w557ldLJCgQP0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/4cb/4cbbea8a06edc9f881fd85537761853d/0a4e02bfb7e17d81dbe70232eb7fa409.jpeg@webp,4.8,199.99,zamorozhennye_produkty
